crop,disease history,msp,temp,rainfall,humidity,n,p,k,season,soil,type
ground nut,"early leaf spot,rust disease,stem rot",4890,25.61,566.375,55.16,29.55,0,147.75,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,29.55,911.125,75.845,39.4,9.85,14.775,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.745,2561,19.7,132.975,39.4,92.59,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19.7,541.75,21.67,73.875,73.875,54.175,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,24.625,1477.5,41.37,123.125,36.445,36.445,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,27.58,1773,68.95,295.5,98.5,197,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,27.58,1773,70.92,19.7,19.7,19.7,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,27.58,517.125,73.875,78.8,39.4,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,24.625,492.5,49.25,108.35,39.4,19.7,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,32.505,517.125,84.71,19.7,49.25,19.7,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,29.55,714.125,82.74,24.625,49.25,29.55,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,26.595,788,72.89,49.25,24.625,24.625,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,23.64,443.25,51.22,197,57.13,126.08,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,25.61,443.25,58.115,78.8,19.7,19.7,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,27.58,49.25,73.875,24.625,49.25,29.55,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.775,591,22.655,88.65,39.4,29.55,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,20.685,1132.75,34.475,19.7,39.4,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,29.55,985,76.83,73.875,73.875,54.175,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.715,443.25,25.61,98.5,49.25,49.25,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,31.52,492.5,77.815,98.5,59.1,59.1,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,24.625,295.5,64.025,98.5,49.25,49.25,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,25.61,591,66.98,59.1,49.25,39.4,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,24.625,541.75,63.04,59.1,39.4,39.4,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,27.58,443.25,71.905,98.5,73.875,49.25,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.745,394,20.685,98.5,49.25,49.25,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.745,344.75,24.625,98.5,49.25,68.95,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.715,384.15,22.655,59.1,39.4,39.4,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.73,423.55,22.655,29.55,49.25,24.625,rabi,alluvialsoil,34
maize,leaf blight,1750,22.54,637,33.32,263.62,109.76,263.62,kharif,blacksoil,1
cotton,boll weevil,5150,22.54,980,35.28,240.1,41.16,65.66,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,23.52,735,34.3,197.96,71.54,169.54,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,24.5,661.5,53.9,17.64,2.94,17.64,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,34.3,539,78.4,58.8,6.86,6.86,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,22.54,539,34.3,58.8,29.4,29.4,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,25.48,563.5,54.88,29.4,0,147,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,29.4,906.5,75.46,39.2,9.8,14.7,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.66,2548,19.6,132.3,39.2,92.12,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19.6,539,21.56,73.5,73.5,53.9,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,24.5,1470,41.16,122.5,36.26,36.26,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,27.44,1764,68.6,294,98,196,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,27.44,1764,70.56,19.6,19.6,19.6,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,27.44,514.5,73.5,78.4,39.2,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,24.5,490,49,107.8,39.2,19.6,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,32.34,514.5,84.28,19.6,49,19.6,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,29.4,710.5,82.32,24.5,49,29.4,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,26.46,784,72.52,49,24.5,24.5,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,23.52,441,50.96,196,56.84,125.44,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,25.48,441,57.82,78.4,19.6,19.6,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,27.44,49,73.5,24.5,49,29.4,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.7,588,22.54,88.2,39.2,29.4,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,20.58,1127,34.3,19.6,39.2,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,29.4,980,76.44,73.5,73.5,53.9,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.62,441,25.48,98,49,49,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,31.36,490,77.42,98,58.8,58.8,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,24.5,294,63.7,98,49,49,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,25.48,588,66.64,58.8,49,39.2,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,24.5,539,62.72,58.8,39.2,39.2,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,27.44,441,71.54,98,73.5,49,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.66,392,20.58,98,49,49,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.66,343,24.5,98,49,68.6,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.62,382.2,22.54,58.8,39.2,39.2,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.64,421.4,22.54,29.4,49,24.5,rabi,alluvialsoil,34
maize,leaf blight,1750,22.425,633.75,33.15,262.275,109.2,262.275,kharif,blacksoil,1
cotton,boll weevil,5150,22.425,975,35.1,238.875,40.95,65.325,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,23.4,731.25,34.125,196.95,71.175,168.675,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,24.375,658.125,53.625,17.55,2.925,17.55,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,34.125,536.25,78,58.5,6.825,6.825,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,22.425,536.25,34.125,58.5,29.25,29.25,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,25.35,560.625,54.6,29.25,0,146.25,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,29.25,901.875,75.075,39,9.75,14.625,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.575,2535,19.5,131.625,39,91.65,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19.5,536.25,21.45,73.125,73.125,53.625,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,24.375,1462.5,40.95,121.875,36.075,36.075,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,27.3,1755,68.25,292.5,97.5,195,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,27.3,1755,70.2,19.5,19.5,19.5,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,27.3,511.875,73.125,78,39,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,24.375,487.5,48.75,107.25,39,19.5,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,32.175,511.875,83.85,19.5,48.75,19.5,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,29.25,706.875,81.9,24.375,48.75,29.25,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,26.325,780,72.15,48.75,24.375,24.375,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,23.4,438.75,50.7,195,56.55,124.8,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,25.35,438.75,57.525,78,19.5,19.5,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,27.3,48.75,73.125,24.375,48.75,29.25,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.625,585,22.425,87.75,39,29.25,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,20.475,1121.25,34.125,19.5,39,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,29.25,975,76.05,73.125,73.125,53.625,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.525,438.75,25.35,97.5,48.75,48.75,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,31.2,487.5,77.025,97.5,58.5,58.5,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,24.375,292.5,63.375,97.5,48.75,48.75,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,25.35,585,66.3,58.5,48.75,39,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,24.375,536.25,62.4,58.5,39,39,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,27.3,438.75,71.175,97.5,73.125,48.75,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.575,390,20.475,97.5,48.75,48.75,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.575,341.25,24.375,97.5,48.75,68.25,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.525,380.25,22.425,58.5,39,39,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.55,419.25,22.425,29.25,48.75,24.375,rabi,alluvialsoil,34
maize,leaf blight,1750,22.31,630.5,32.98,260.93,108.64,260.93,kharif,blacksoil,1
cotton,boll weevil,5150,22.31,970,34.92,237.65,40.74,64.99,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,23.28,727.5,33.95,195.94,70.81,167.81,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,24.25,654.75,53.35,17.46,2.91,17.46,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,33.95,533.5,77.6,58.2,6.79,6.79,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,22.31,533.5,33.95,58.2,29.1,29.1,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,25.22,557.75,54.32,29.1,0,145.5,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,29.1,897.25,74.69,38.8,9.7,14.55,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.49,2522,19.4,130.95,38.8,91.18,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19.4,533.5,21.34,72.75,72.75,53.35,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,24.25,1455,40.74,121.25,35.89,35.89,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,27.16,1746,67.9,291,97,194,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,27.16,1746,69.84,19.4,19.4,19.4,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,27.16,509.25,72.75,77.6,38.8,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,24.25,485,48.5,106.7,38.8,19.4,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,32.01,509.25,83.42,19.4,48.5,19.4,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,29.1,703.25,81.48,24.25,48.5,29.1,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,26.19,776,71.78,48.5,24.25,24.25,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,23.28,436.5,50.44,194,56.26,124.16,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,25.22,436.5,57.23,77.6,19.4,19.4,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,27.16,48.5,72.75,24.25,48.5,29.1,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.55,582,22.31,87.3,38.8,29.1,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,20.37,1115.5,33.95,19.4,38.8,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,29.1,970,75.66,72.75,72.75,53.35,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.43,436.5,25.22,97,48.5,48.5,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,31.04,485,76.63,97,58.2,58.2,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,24.25,291,63.05,97,48.5,48.5,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,25.22,582,65.96,58.2,48.5,38.8,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,24.25,533.5,62.08,58.2,38.8,38.8,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,27.16,436.5,70.81,97,72.75,48.5,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.49,388,20.37,97,48.5,48.5,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.49,339.5,24.25,97,48.5,67.9,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.43,378.3,22.31,58.2,38.8,38.8,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.46,417.1,22.31,29.1,48.5,24.25,rabi,alluvialsoil,34
maize,leaf blight,1750,22.195,627.25,32.81,259.585,108.08,259.585,kharif,blacksoil,1
cotton,boll weevil,5150,22.195,965,34.74,236.425,40.53,64.655,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,23.16,723.75,33.775,194.93,70.445,166.945,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,24.125,651.375,53.075,17.37,2.895,17.37,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,33.775,530.75,77.2,57.9,6.755,6.755,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,22.195,530.75,33.775,57.9,28.95,28.95,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,25.09,554.875,54.04,28.95,0,144.75,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,28.95,892.625,74.305,38.6,9.65,14.475,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.405,2509,19.3,130.275,38.6,90.71,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19.3,530.75,21.23,72.375,72.375,53.075,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,24.125,1447.5,40.53,120.625,35.705,35.705,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,27.02,1737,67.55,289.5,96.5,193,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,27.02,1737,69.48,19.3,19.3,19.3,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,27.02,506.625,72.375,77.2,38.6,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,24.125,482.5,48.25,106.15,38.6,19.3,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,31.845,506.625,82.99,19.3,48.25,19.3,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,28.95,699.625,81.06,24.125,48.25,28.95,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,26.055,772,71.41,48.25,24.125,24.125,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,23.16,434.25,50.18,193,55.97,123.52,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,25.09,434.25,56.935,77.2,19.3,19.3,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,27.02,48.25,72.375,24.125,48.25,28.95,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.475,579,22.195,86.85,38.6,28.95,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,20.265,1109.75,33.775,19.3,38.6,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,28.95,965,75.27,72.375,72.375,53.075,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.335,434.25,25.09,96.5,48.25,48.25,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,30.88,482.5,76.235,96.5,57.9,57.9,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,24.125,289.5,62.725,96.5,48.25,48.25,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,25.09,579,65.62,57.9,48.25,38.6,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,24.125,530.75,61.76,57.9,38.6,38.6,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,27.02,434.25,70.445,96.5,72.375,48.25,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.405,386,20.265,96.5,48.25,48.25,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.405,337.75,24.125,96.5,48.25,67.55,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.335,376.35,22.195,57.9,38.6,38.6,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.37,414.95,22.195,28.95,48.25,24.125,rabi,alluvialsoil,34
maize,leaf blight,1750,22.08,624,32.64,258.24,107.52,258.24,kharif,blacksoil,1
cotton,boll weevil,5150,22.08,960,34.56,235.2,40.32,64.32,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,23.04,720,33.6,193.92,70.08,166.08,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,24,648,52.8,17.28,2.88,17.28,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,33.6,528,76.8,57.6,6.72,6.72,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,22.08,528,33.6,57.6,28.8,28.8,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,24.96,552,53.76,28.8,0,144,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,28.8,888,73.92,38.4,9.6,14.4,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.32,2496,19.2,129.6,38.4,90.24,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19.2,528,21.12,72,72,52.8,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,24,1440,40.32,120,35.52,35.52,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,26.88,1728,67.2,288,96,192,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,26.88,1728,69.12,19.2,19.2,19.2,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,26.88,504,72,76.8,38.4,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,24,480,48,105.6,38.4,19.2,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,31.68,504,82.56,19.2,48,19.2,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,28.8,696,80.64,24,48,28.8,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,25.92,768,71.04,48,24,24,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,23.04,432,49.92,192,55.68,122.88,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,24.96,432,56.64,76.8,19.2,19.2,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,26.88,48,72,24,48,28.8,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.4,576,22.08,86.4,38.4,28.8,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,20.16,1104,33.6,19.2,38.4,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,28.8,960,74.88,72,72,52.8,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.24,432,24.96,96,48,48,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,30.72,480,75.84,96,57.6,57.6,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,24,288,62.4,96,48,48,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,24.96,576,65.28,57.6,48,38.4,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,24,528,61.44,57.6,38.4,38.4,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,26.88,432,70.08,96,72,48,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.32,384,20.16,96,48,48,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.32,336,24,96,48,67.2,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.24,374.4,22.08,57.6,38.4,38.4,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.28,412.8,22.08,28.8,48,24,rabi,alluvialsoil,34
maize,leaf blight,1750,21.965,620.75,32.47,256.895,106.96,256.895,kharif,blacksoil,1
cotton,boll weevil,5150,21.965,955,34.38,233.975,40.11,63.985,kharif,blacksoil,2
wheat,"leaf rust , spike blight , saw fly",1840,22.92,716.25,33.425,192.91,69.715,165.215,rabi,alluvialsoil,3
paddy,"rice blast , shealth blast ",1750,23.875,644.625,52.525,17.19,2.865,17.19,kharif,alluvialsoil,4
barley,"bacterial blight , powdery mildew",1440,33.425,525.25,76.4,57.3,6.685,6.685,rabi,alluvialsoil,5
finger millet,magnaporthe grascea,1800,21.965,525.25,33.425,57.3,28.65,28.65,kharif,blacksoil,6
ground nut,"early leaf spot,rust disease,stem rot",4890,24.83,549.125,53.48,28.65,0,143.25,kharif,redsoil,7
green gram,"leaf blight,powdery mildew,root rot",5375,28.65,883.375,73.535,38.2,9.55,14.325,kharif,redsoil,8
tea,"blister blight,chemiliabiback",2000,16.235,2483,19.1,128.925,38.2,89.77,kharif,lateritesoil,9
chillies,"wilting,canker,mosaic virral",7500,19.1,525.25,21.01,71.625,71.625,52.525,kharif,alluvialsoil,10
turmeric,"ryzome,leaf bloeth,dry rot",6000,23.875,1432.5,40.11,119.375,35.335,35.335,kharif,alluvialsoil,11
sugar cane,"orangerust,leafcald,mosaicviral",275,26.74,1719,66.85,286.5,95.5,191,kharif,alluvialsoil,12
jute,"leafblight,seedlingblight,mosaicvirus",3700,26.74,1719,68.76,19.1,19.1,19.1,kharif,redsoil,13
sorghum,"bacterial leaf spot, charcoal rot",2800,26.74,501.375,71.625,76.4,38.2,0,kharif,alluvialsoil,14
bajra,downey mildew,1750,23.875,477.5,47.75,105.05,38.2,19.1,rabi,blacksoil,15
red gram,"wilt ,stem blight, dry root rot",5050,31.515,501.375,82.13,19.1,47.75,19.1,kharif,blacksoil,16
black gram ,"yello mossaic virus, leaf crinkle ,powdery mildew",4400,28.65,692.375,80.22,23.875,47.75,28.65,rabi,alluvialsoil,17
sesame,"bacterialblight,rootrot,phyllody",5600,25.785,764,70.67,47.75,23.875,23.875,kharif,lateritesoil,18
sweet potato,"black rot,bacterial stem,root rot",4875,22.92,429.75,49.66,191,55.39,122.24,rabi,marshy,19
mustard,"white rust, club root, bacterial blight",3700,24.83,429.75,56.345,76.4,19.1,19.1,rabi,alluvialsoil,20
soyabean,"stem rot, stram blight",3050,26.74,47.75,71.625,23.875,47.75,28.65,rabi,alluvialsoil,21
lin seed,"rust, wilt mildew, powdery mildew",4050,14.325,573,21.965,85.95,38.2,28.65,kharif,alluvialsoil,22
niger,"powdery miltew,milt",4050,20.055,1098.25,33.425,19.1,38.2,0,kharif,blacksoil,23
capsicum,"bactrial spot, charcoal rot, root knot",3500,28.65,955,74.49,71.625,71.625,52.525,kharif,redsoil,24
cucumber,"powdery mildew, cucumber betelles, mosiac",2200,18.145,429.75,24.83,95.5,47.75,47.75,rabi,alluvialsoil,25
ridge gourd,"belly rot, bacterial milt, downey mildew",2540,30.56,477.5,75.445,95.5,57.3,57.3,kharif,alluvialsoil,26
bottle gourd,"furasium milt, powdery mildew, downey mildew",2500,23.875,286.5,62.075,95.5,47.75,47.75,rabi,alluvialsoil,27
snake gourd,"antracnose, leaf spot",2600,24.83,573,64.94,57.3,47.75,38.2,kharif,alluvialsoil,28
Water melon,"bacterial fruit blotch, antracnose",2000,23.875,525.25,61.12,57.3,38.2,38.2,kharif,alluvialsoil,29
muskmelon,"powdery mildew, root knot, ",3200,26.74,429.75,69.715,95.5,71.625,47.75,kharif,alluvialsoil,30
cauli flower,"black leg,camping off, leaf spot",3000,16.235,382,20.055,95.5,47.75,47.75,rabi,alluvialsoil,31
onion,"downey mildew,purple blotch, green mould",2500,16.235,334.25,23.875,95.5,47.75,66.85,kharif,alluvialsoil,32
french bean,"leaf spot, antracnose",5450,18.145,372.45,21.965,57.3,38.2,38.2,rabi,alluvialsoil,33
garden pea,"brown spot, gray mold, root rot",6000,17.19,410.65,21.965,28.65,47.75,23.875,rabi,alluvialsoil,34
